380aed66 0ba5f021 039ff87c
491afd8b ff273886 12990f09
36f912c4 10e91ccc 1167fe59
24041819 29840305 fb71fb94
d793268f 1bea1b4c f063d926
bfe4ff20 fb333dc6 e56e05b7
b004d9ec ea9335db e932f168
afb8ea0e 0de91ae7 03fa005b
e19dc54a f26222fc 1fa21132
fdcacdb9 d2170133 21930608
35a9ea2a ecb602dc 062fdf32
3793d75d f1b502f8 080bf503
3c5ceb26 05aefc7a 009afb8b
3f69fa42 15480c9d 063700eb
39b31036 0fec0284 031efe5f
35f923b7 2d840ad8 088a05f6
05c334ad 2c3ffcf5 08f80450
d3c32854 1ed6f555 0bab0078
cbb41cb1 199f011f 0159eebc
a0ca50ff 01c6203e 1a84f3e3
ae18f425 fdfaf1f7 117df798
fbb8b332 bd4c16f3 1f1ceeb7
e000cce2 efd40371 08ed01cf
1c68c8c4 df5ffe1c 0e92f6d7
262ddce6 fce5095a f6effc45
331bf44b 1149151e 050102ad
431e0593 11070530 0690fd7f
39b515aa 19c505ad 00fcfa9a
2699218d 28e1fb6e fa44fbd4
071925c3 38beff63 01380053
bf560b44 0a98fe4c 00800546
bfbb15c5 078afd1e 0f2e01f4
b500015d 0907f33e 04c4f7f6
b875f107 035ef402 fb6d0105
c18ede65 0df1f856 0020f704
f4bf9fe4 ea7b10c6 1d4500c6
d9d7d71c d880f92d fa0de924
0699b70e f21dfaa8 15b3f9fb
2315d7c0 fc2dfba6 ffeaff39
3e5fe700 0c7effdb 0150fe1a
3f4cec56 1c09118a 0414f8b9
4bf0128f 2f9e0f5b 080ffb7d
3fd80a75 133422b2 148e05d5
f615215b 35fefc0e 12330a66
c35c11d7 1b08eedc 0adafa7f
c69a1685 09fae8ec 0a20fb48
b2c044ca 05b9fd39 00d0f72f
befee355 ed4cf4b9 09380343
b1bae644 df820694 09061129
e6fcd725 d82b029f 17ad0347
13c4e031 df3bfde1 1e02fefa
2bb3dcc4 ebddfaa7 ff6a0083
378eead2 0ba50e0b 02b6ff07
5002fb8a 168a017d fe500338
404f0175 0fa41116 fddffc73
369f1451 142e14ca 07390ce4
fd3e7964 0a44f48e 0b2df317
ca080786 3f8403d5 147ce9d5
f963246b 3b080959 06bcf24c
d28326b8 1cf7fdc6 04a2f982
9c1a32d8 ea63e472 0739f43c
b75e0abd 0d1502b1 036b0086
cd2b1bbe ca8d0986 00aefe7f
dbcdf0e6 e10203a6 1838f687
db5dce3a 07d5fb87 fa55fa5f
06f1c2ce f87901ec fa1afe83
24b4c0f0 14c20987 fad60103
247de43c 15f2f8a2 03d7f973
424afcd5 230afb04 078803de
19f60b47 0be3fc1b f9e8ff31
f9c14251 1194e1af e419c6a7
2bbe22d6 11fb02a3 051b0742
0dac3fde 004cfdb6 0a2afa7f
e18f384a fab7fa6f 0276fe39
e44b156d e40012cc f33004ab
b9a00381 0fe50960 02fb01c5
c15cfdc2 04f1f8f5 fde5fd9c
be68f9e9 004ef911 fa28fe70
ca95e1ee 01ecfdfe fde1fb34
f912bc54 ffcefc5f f31b00f7
f697d8a4 e660d4b5 160df6cb
5f1adc48 15eef01d ed26d52f
2c75ffb3 085ef803 05230125
639a0f53 113b0cca 2119ef92
3b360d27 0ab7fc8c fc9f006e
2c8f2440 0cb30870 0a32ff62
09d23ade 0969feca 0d71fc23
e0ab373d f470f0e0 0844f009
c48d1874 fe11fd3d 0043fe7d
c22e01cb 13e31553 f142f69e
e50a22d8 07d40e2f f45ef6eb
bb58fbc9 130700b7 00b7fed8
c406e50c 1011fec6 fc69ffde
e245c214 1e4f03dc ffc00aef
8c21f04f f5b5d057 eb79f2aa
3faee3d3 213ef5f8 fd6eef9c
40aad26a 1b830aec f5cefa37
4236fd43 21f70665 f4ffff5f
406918f7 10a5fd9e fd86fd58
2fdc178b 16f0fc34 03cef8ef
074339be 0e020031 01d2fae3
d8cc3758 00b9f8bf 0433fdde
ba3c0b22 03c50bb0 00790761
c7bb1ad5 0233089f fe6cf7a5
c43e0a75 0518fe96 fdc4fde8
bb040603 022ffc79 fdb1fda6
c450d804 0c6c0233 feeb068e
ddf0ca77 133aeea2 0da7f4ce
071eb768 2413066f fd20f734
0a1bc170 18bd0095 00e6fc68
0a85d0bf 195d09ba 092610e1
1a39c5b0 0eeefd4c f6f40afd
3b1cfbbb 0977115c 09040767
431cf53a 13a20e40 047cfb09
3cac077b 172f0561 fe68febd
3dac12c6 1f9e03c8 03940235
1cf21992 f408fcf6 08670a32
10e74c74 e3a604ca 0409f18b
cc8c2bf3 0b9cf80e ff42010f
617e1e6e e8e4d617 69aad1fd
bc5b0b00 f535056e ffc4f741
a420f56c 0070124c 0e5bebed
d1f984a4 fdd3f6cd 1408eebf
f4d8b35e ed57f1d9 11c5f147
2cc5c84c 21e70e3d 01a0fc1e
27c5e5ec 184aeeb0 fce2fe24
3beb003c 143d06a1 021dfe10
3bcd0a2a 0f900b04 06a6fe4f
3f641b7a 1cc005bb 0510fb6a
108a3182 12c6009a 0164ffdb
ede94948 066afd25 e8eaf111
e236129c 162e0218 fd23fc22
bbcefbef f1ad05af fe83fdb9
cc302663 e53be9cd ebebf4f6
bdec0aa5 06e7fc8e fea1ff6e
c1b6fe85 06c1fce7 ff4efe6f
c45dd7f4 ffffff55 f8de0573
f2f1c486 e404f870 0c6bf80e
ea0dad44 22230a8f 0600e9a0
2f65bb6c 1d45f9bb 081af6a9
3732f14d 1528036a ff5b00bd
3e1fef62 0d9e130f 0171fef2
429800e3 11ec11b2 062a0566
3ad21d09 1150faeb fa600845
004f3808 1158fdc5 f9d2fae8
d679163b 43ba0d8b 03d5ed05
ce272e4f 0523f2b8 fda7ec2e
caf614fb fd2ff30a fdfafb61
b2840d06 18d2f652 0601fad2
baa4019e ffb406e2 fc64fe35
bbf2f5fe fa58f7ca f8ebffcd
d262c7ad 1550078e 07f1fa0a
ded9c7a1 0706fed1 fe8cfffd
d6a7cd09 0b2affb9 00250009
d57fcf22 09340001 008efff9
